Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
1,--,Trevor Lawrence,Clemson,QB,"6'6""",220,JR,2021-02-03,Eligible
2,--,Penei Sewell,Oregon,OT,"6'5""",330,JR,2021-02-03,Eligible
3,--,Ja'Marr Chase,LSU,WR,"6'1""",200,JR,2021-02-03,Eligible
4,+2,Zach Wilson,BYU,QB,6'3'',210,JR,2021-02-03,Eligible
5,-1,Justin Fields,Ohio State,QB,6'3'',228,JR,2021-02-03,Eligible
6,--,Patrick Surtain II,Alabama,CB,"6'1""",203,JR,2021-02-03,Eligible
7,--,Jaylen Waddle,Alabama,WRS,"5'10""",182,JR,2021-02-03,Eligible
8,--,Caleb Farley,Virginia Tech,CB,"6'2""",197,RJR,2021-02-03,Eligible
9,--,Kyle Pitts,Florida,TE,"6'5""",239,JR,2021-02-03,Eligible
10,-3,Micah Parsons,Penn State,ILB,"6'2""",245,JR,2021-02-03,Eligible
11,-2,DeVonta Smith,Alabama,WR,"6'1""",175,SR,2021-02-03,Eligible
12,--,Trey Lance,North Dakota State,QB,"6'3""",226,RSO,2021-02-03,Eligible
13,--,Jaycee Horn,South Carolina,CB,"6'0""",200,JR,2021-02-03,Eligible
14,+6,Rashawn Slater,Northwestern,OT,6'4'',314,SR,2021-02-03,Eligible
15,--,Wyatt Davis,Ohio State,OG,"6'4""",315,RJR,2021-02-03,Eligible
16,-3,Gregory Rousseau,Miami (FL),EDGE,"6'5""",260,RSO,2021-02-03,Eligible
17,-6,Trevon Moehrig,TCU,S,"6'2""",202,JR,2021-02-03,Eligible
18,-4,Christian Darrisaw,Virginia Tech,OT,6'5'',314,RJR,2021-02-03,Eligible
19,--,Christian Barmore,Alabama,DL3T,"6'5""",310,RSO,2021-02-03,Eligible
20,-7,Rondale Moore,Purdue,WRS,"5'9""",175,JR,2021-02-03,Eligible
21,-5,Kwity Paye,Michigan,EDGE,"6'4""",277,SR,2021-02-03,Eligible
22,--,Jeremiah Owusu-Koramoah,Notre Dame,OLB,6'1'',216,SR,2021-02-03,Eligible
23,--,Asante Samuel Jr.,Florida State,CB,"5'10""",180,JR,2021-02-03,Eligible
24,-6,Samuel Cosmi,Texas,OT,"6'7""",309,RJR,2021-02-03,Eligible
25,-3,Rashod Bateman,Minnesota,WR,"6'1""",210,JR,2021-02-03,Eligible
26,--,Travis Etienne,Clemson,RB,"5'10""",210,SR,2021-02-03,Eligible
27,+1,Mac Jones,Alabama,QB,6'2'',214,RJR,2021-02-03,Eligible
28,-4,Daviyon Nixon,Iowa,DL3T,"6'3""",305,JR,2021-02-03,Eligible
29,+15,Richie Grant,UCF,S,"6'0""",194,RSR,2021-02-03,Eligible
30,+35,Azeez Ojulari,Georgia,EDGE,"6'3""",240,RSO,2021-02-03,Eligible
31,--,Nick Bolton,Missouri,ILB,"6'0""",235,JR,2021-02-03,Eligible
