Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
1,--,Trevor Lawrence,Clemson,QB,"6'6""",220,JR,2021-01-31,Eligible
2,--,Penei Sewell,Oregon,OT,"6'5""",330,JR,2021-01-31,Eligible
3,--,Ja'Marr Chase,LSU,WR,"6'1""",200,JR,2021-01-31,Eligible
4,+2,Zach Wilson,BYU,QB,6'3'',210,JR,2021-01-31,Eligible
5,-1,Justin Fields,Ohio State,QB,6'3'',228,JR,2021-01-31,Eligible
6,--,Patrick Surtain II,Alabama,CB,"6'1""",203,JR,2021-01-31,Eligible
7,--,Micah Parsons,Penn State,ILB,"6'2""",245,JR,2021-01-31,Eligible
8,--,Jaylen Waddle,Alabama,WRS,"5'10""",182,JR,2021-01-31,Eligible
9,--,Caleb Farley,Virginia Tech,CB,"6'2""",197,RJR,2021-01-31,Eligible
10,--,Kyle Pitts,Florida,TE,"6'5""",239,JR,2021-01-31,Eligible
11,-2,DeVonta Smith,Alabama,WR,"6'1""",175,SR,2021-01-31,Eligible
12,--,Trey Lance,North Dakota State,QB,"6'3""",226,RSO,2021-01-31,Eligible
13,--,Jaycee Horn,South Carolina,CB,"6'0""",200,JR,2021-01-31,Eligible
14,+6,Rashawn Slater,Northwestern,OT,6'4'',314,SR,2021-01-31,Eligible
15,--,Wyatt Davis,Ohio State,OG,"6'4""",315,RJR,2021-01-31,Eligible
16,-3,Gregory Rousseau,Miami (FL),EDGE,"6'5""",260,RSO,2021-01-31,Eligible
17,-6,Trevon Moehrig,TCU,S,"6'2""",202,JR,2021-01-31,Eligible
18,-4,Christian Darrisaw,Virginia Tech,OT,6'5'',314,RJR,2021-01-31,Eligible
19,--,Christian Barmore,Alabama,DL3T,"6'5""",310,RSO,2021-01-31,Eligible
20,-7,Rondale Moore,Purdue,WRS,"5'9""",175,JR,2021-01-31,Eligible
21,-5,Kwity Paye,Michigan,EDGE,"6'4""",277,SR,2021-01-31,Eligible
22,--,Jeremiah Owusu-Koramoah,Notre Dame,OLB,6'1'',216,SR,2021-01-31,Eligible
23,--,Asante Samuel Jr.,Florida State,CB,"5'10""",180,JR,2021-01-31,Eligible
24,--,Daviyon Nixon,Iowa,DL3T,"6'3""",305,JR,2021-01-31,Eligible
25,-6,Samuel Cosmi,Texas,OT,"6'7""",309,RJR,2021-01-31,Eligible
26,-3,Rashod Bateman,Minnesota,WR,"6'1""",210,JR,2021-01-31,Eligible
27,--,Travis Etienne,Clemson,RB,"5'10""",210,SR,2021-01-31,Eligible
28,+1,Mac Jones,Alabama,QB,6'2'',214,RJR,2021-01-31,Eligible
29,+15,Richie Grant,UCF,S,"6'0""",194,RSR,2021-01-31,Eligible
30,+35,Azeez Ojulari,Georgia,EDGE,"6'3""",240,RSO,2021-01-31,Eligible
31,--,Nick Bolton,Missouri,ILB,"6'0""",235,JR,2021-01-31,Eligible
32,+8,Alijah Vera-Tucker,USC,OG,"6'4""",315,RJR,2021-01-31,Eligible
33,--,Najee Harris,Alabama,RB,"6'2""",230,SR,2021-01-31,Eligible
34,--,Kyle Trask,Florida,QB,6'4'',240,RSR,2021-01-31,Eligible
35,+5,Terrace Marshall,LSU,WR,"6'3""",200,JR,2021-01-31,Eligible
36,--,Zaven Collins,Tulsa,OLB,6'4'',260,RJR,2021-01-31,Eligible
37,+6,Joseph Ossai,Texas,EDGE,"6'4""",253,JR,2021-01-31,Eligible
38,-10,Alex Leatherwood,Alabama,OT,"6'6""",312,SR,2021-01-31,Eligible
39,--,Trey Smith,Tennessee,OG,"6'6""",330,SR,2021-01-31,Eligible
40,--,Creed Humphrey,Oklahoma,OC,"6'5""",320,RJR,2021-01-31,Eligible
41,--,Tyson Campbell,Georgia,CB,"6'2""",180,JR,2021-01-31,Eligible
42,--,Jay Tufele,USC,DL3T,"6'3""",305,RJR,2021-01-31,Eligible
43,-10,Andre Cisco,Syracuse,S,"6'0""",203,JR,2021-01-31,Eligible
44,--,Chazz Surratt,North Carolina,OLB,"6'3""",230,RSR,2021-01-31,Eligible
45,+6,Jalen Mayfield,Michigan,OT,"6'5""",320,RSO,2021-01-31,Eligible
46,--,Marvin Wilson,Florida State,DL3T,"6'5""",311,SR,2021-01-31,Eligible
47,--,Dylan Moses,Alabama,OLB,"6'3""",235,SR,2021-01-31,Eligible
48,--,Pat Freiermuth,Penn State,TE,"6'5""",250,JR,2021-01-31,Eligible
49,+11,Jayson Oweh,Penn State,EDGE,"6'5""",257,RSO,2021-01-31,Eligible
50,+25,Greg Newsome II,Northwestern,CB,"6'1""",190,JR,2021-01-31,Eligible
51,+12,Tylan Wallace,Oklahoma State,WR,"6'0""",185,SR,2021-01-31,Eligible
